"lvl_def_id","nb_success","nb_attempts","nb_people_there_atm","nb_churners","nb_users_been_there","nb_couldvechurned","avg_regular_torpedoes_used","avg_regular_torpedoes_left","avg_triple_torpedoes_used","avg_homing_torpedoes_used","game_length","lvl","APS","churn_rate","avg_time_spend","fun","AirCarrier","AirCarrier2","Attacker","Battleship","Battleship2","Bulker","Bulker2","Bulker3_planes","Destroyer","Destroyer2","Destroyer3","Destroyer3_ram","Destroyer3_shootBack","Hospital","Iceberg","Mountain","Mountain2","Mountain3","Mountain4","Mountain5","Plane1","Plane2","Plane2_shootBack","SmallTorpedoBoat","Submarine","SubmarineDive","Tanker","Tanker2","Transport","Transport2","Triton","TritonDive","NightVision","Underwater","ArcticSnow","LightRain","LightSnow","Regular","StormRain"
"Level_1",86528,113952,17641,12222,93072,69275,4.3,3,0,0,7898136149,1,1.31693786982249,0.17642728256947,84.8604967014784,0.66337250765466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_2",75633,82441,13243,9088,78078,57883,4,3.8,0,0,4006387952,2,1.09001361839409,0.157006374928736,51.312635467097,0.74743381487629,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Level_4",65860,71083,10352,6933,66330,48845,4.2,4.5,0,0.03,3582197343,3,1.07930458548436,0.141938785955574,54.0056888738128,0.888564997021952,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_10",53264,57187,6482,4260,53737,39518,1.8,3.2,0,0.02,1919019105,4,1.07365199759688,0.107798977681057,35.7113181792806,0.905028735516377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Level_11",49830,57644,7557,4854,49405,36162,4.8,2.2,0,0.08,3169333712,5,1.15681316476018,0.134229301476688,64.150059953446,1.06252810969402,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_13",43866,50754,5582,3523,44483,32500,5.3,1.8,0.02,0.1,2654398400,6,1.1570236629736,0.1084,59.6721983679158,1.34960771714359,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_15",39453,56221,5964,3656,40422,29344,5.2,1.1,0.02,0.11,4001536313,7,1.42501203964211,0.124591057797165,98.994020904458,1.11499492883199,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_16",36237,39565,3497,2093,36301,26232,2.9,2.1,0.01,0.06,1508416441,8,1.09183983221569,0.0797880451357121,41.5530272168811,1.363562195625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_17",38597,51081,4203,2449,35689,25707,5.9,1.3,0.05,0.12,3689589095,9,1.32344482731819,0.095265880888474,103.381688895738,1.30679884391088,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_19",36469,37959,2390,1409,33001,23659,3.5,2.5,0.04,0.07,1543397418,10,1.04085661794949,0.0595545035715795,46.7682015090452,1.61026023860411,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_20",37201,56191,4361,2495,31337,22338,2.3,1.4,0.02,0.07,2620284462,11,1.51047014865192,0.111693079058107,83.6163149631426,0.838348551912701,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_20090",24981,65943,6671,3739,29487,21039,5.8,1,0.09,0.33,5256537015,12,2.63972619190585,0.177717572127953,178.266253433717,0.857683836294029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_101",24522,33627,2789,1502,23867,16841,4.6,3.1,0.09,0.21,2619730524,13,1.37129924149743,0.0891871029036281,109.763712406251,0.673451420560531,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_41",25167,34885,2571,1323,23310,16418,6.2,2.2,0.11,0.16,3260661340,14,1.38614058091946,0.080582287732976,139.882511368511,1.07286099507265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_44",20958,25757,1337,733,20780,14631,2.6,2.4,0.05,0.08,1321308620,15,1.22898177306995,0.0500991046408311,63.5855928777671,1.48532666498772,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_59",24295,28031,1491,774,21592,15173,4.8,1.4,0.09,0.18,1450998669,16,1.15377649722165,0.05101166545838,67.2007534735087,1.12260623535726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_45",22595,32664,2357,1204,20750,14506,7.3,3.2,0.11,0.14,3115821357,17,1.44562956406285,0.0830001378739832,150.16006539759,1.06038622378254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"Level_60",22018,39502,2523,1309,20571,14491,5.6,1.1,0.12,0.28,2703220318,18,1.7940775728949,0.0903319301635498,131.409280929464,0.928455963561912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_20091",19338,27455,2032,1030,18695,13083,10.9,4,0.25,0.38,3360586920,19,1.4197435101872,0.0787281204616678,179.758594276545,0.950803058647644,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Level_95",17323,25339,1841,906,17688,12338,7.1,4.2,0.13,0.16,3054443885,20,1.46273740114299,0.07343167450154,172.684525384441,0.899106191120267,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"Level_90096",17055,23454,1396,640,16261,11187,8.7,2.7,0.2,0.25,3176552819,21,1.37519788918206,0.0572092607490838,195.347937949696,1.0685466780235,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Level_42",13795,18109,1050,464,14041,9496,9.1,3.3,0.2,0.27,2461865919,22,1.3127220007249,0.0488626790227464,175.334087244498,1.63383243812276,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_106",16560,17456,747,355,15290,10480,2.8,2.2,0.04,0.06,792654689,23,1.05410628019324,0.0338740458015267,51.8413792674951,1.71024444240973,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Level_100",6513,8524,273,103,6224,4047,1.8,2.4,0.06,0.2,366595065,24,1.30876708122217,0.0254509513219669,58.9002353791774,1.57858811345925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
